,vs media (NO MAPPING),,vs mejor word embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Media (Diferencia),Media Ponderada (Diferecia),Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,,,,,
W2V + FT,0.015,0.010,-0.015,-0.019,0.660,0.601,0.4764382193,0.7207166314,0.7442953209,0.8249624717,0.8278744986,0.8261022634,0.7530511787,0.6980636477,0.8184124571,0.7222581974,0.7094045949,0.8563342153,0.4624485507,0.8616891545,0.5878159133,0.3980537881,0.5783871367
W2V + jointcHYB,0.020,0.017,0.025,0.011,0.679,0.617,0.5362645584,0.6981309461,0.7440277672,0.8170956789,0.8199696146,0.8181728669,0.7732979985,0.7122283589,0.8343368098,0.7684538383,0.6889844461,0.896154565,0.4446443549,0.8757094068,0.7185553508,0.4954090786,0.4733558149
W2V + UKB,0.035,0.021,0.067,0.029,0.697,0.639,0.5608144056,0.7199193291,0.7601312615,0.8247227159,0.8298927708,0.8266273634,0.7760556112,0.7241092738,0.838540793,0.7840031707,0.6911895971,0.8879806842,0.4674112463,0.8850562416,0.7442699205,0.5208380429,0.5140731047
W2V + LEXVEC,0.017,0.019,0.007,0.005,0.637,0.578,0.4666283669,0.7111071813,0.7364118405,0.8118390569,0.8145574695,0.8127464447,0.7336824137,0.6742560745,0.8016036971,0.7103042607,0.7000537043,0.810263251,0.4534891367,0.8236341841,0.5436278873,0.3638552022,0.5505962509
FT + jointcHYB,0.028,0.025,0.030,0.029,0.705,0.649,0.5708389373,0.7203371574,0.7837977661,0.8497729552,0.8535746642,0.8512661537,0.8099617262,0.7532058357,0.8615949176,0.7961665317,0.7479174831,0.9100545334,0.4224419013,0.8886169406,0.7696890462,0.5323421904,0.4987388856
FT + UKB,0.017,0.023,0.049,0.051,0.724,0.671,0.5911771185,0.7490751449,0.7944785357,0.8548045811,0.864312178,0.8582987655,0.8164128432,0.7739167297,0.8639440125,0.8128149226,0.7559302819,0.9025581668,0.4662294033,0.8901747464,0.7943640907,0.5569851749,0.5455192057
FT + LEXVEC,0.007,0.004,-0.008,-0.012,0.667,0.608,0.4967955442,0.7415146007,0.7742619645,0.8410675302,0.8426563594,0.8414610515,0.7765002995,0.7224673851,0.8363143532,0.7421836592,0.7500236273,0.8228519016,0.4700947218,0.8501168828,0.5972072024,0.3904922232,0.5790892
jointcHYB + UKB,0.034,0.034,0.006,0.006,0.660,0.616,0.5553279461,0.653336765,0.7090514138,0.7911696504,0.8024338456,0.7952448156,0.7568194342,0.6912861233,0.828736998,0.7838775161,0.6541055568,0.8735561887,0.2795477949,0.8908423774,0.8015969973,0.5687731747,0.3787582267
jointcHYB + LEXVEC,0.030,0.019,0.037,0.021,0.691,0.627,0.5529228247,0.7188768804,0.7735143406,0.8326931027,0.8419085215,0.8357980456,0.8002750248,0.7386894252,0.8533612505,0.7942817133,0.7360224182,0.8713269485,0.4501829018,0.8837209795,0.735814204,0.4941898825,0.4800537248
UKB + LEXVEC,0.026,0.018,0.073,0.036,0.703,0.646,0.569077944,0.755153329,0.7883193805,0.8417463908,0.8501396359,0.8447684725,0.8096809997,0.7618213456,0.8580910005,0.8023654897,0.7545711888,0.8683109176,0.4202478002,0.8834984358,0.7645598102,0.5157654355,0.5125623786
